0.2  	3.1978
0.3  	1.61924
0.4  	0.87977
0.5  	0.473361
0.6  	0.230365
0.8  	-0.0200566
0.9  	-0.0836432
1  	-0.12454
1.1  	-0.150057
1.2  	-0.164935
1.3  	-0.172347
1.35  	-0.173964
1.4  	-0.174476
1.45  	-0.174057
1.5  	-0.172855
1.6  	-0.168583
1.7  	-0.162459
1.8  	-0.155069
2  	-0.138133
2.2  	-0.120132
2.4  	-0.102423
2.6  	-0.0857912
2.8  	-0.0706832
3  	-0.0573262
3.2  	-0.0457996
3.4  	-0.0360754
3.6  	-0.0280463
3.8  	-0.0215498
4  	-0.0163902
4.2  	-0.0123599
4.4  	-0.0092565
4.6  	-0.0068952
4.8  	-0.00511599
5  	-0.00378564
5.2  	-0.0027968
5.4  	-0.00206505
5.6  	-0.00152524
5.8  	-0.00112787
6  	-0.000835702
6.2  	-0.000620961
6.4  	-0.000463077
6.6  	-0.000346878
6.8  	-0.000261213
7  	-0.000197911
7.2  	-0.000150992
7.44  	-0.000116086
7.6  	-9.0001e-05
7.8  	-7.0408e-05
8  	-5.5603e-05
8.5  	-3.217e-05
9  	-1.978e-05
9.5  	-1.2855e-05
10  	-8.754e-06
11  	-4.506e-06
12  	0
