-1.33654	0.044075108
-1.24724	0.029833364
-1.15715	0.018833712
-1.06596	0.010727374
-0.97355	0.005165295
-0.87988	0.001788733
-0.78501	0.000225119
-0.72807	-1.1713E-06
-0.68906	9.33483E-05
-0.59218	0.001008115
-0.49454	0.002586381
-0.39629	0.004460149
-0.29759	0.00629777
-0.19857	0.007822072
-0.09934	0.008824009
0.00000	0.009173035
0.09934	0.008824009
0.19857	0.007822072
0.29759	0.00629777
0.39629	0.004460149
0.49454	0.002586381
0.59218	0.001008115
0.68906	9.33483E-05
0.72807	-1.1713E-06
0.78501	0.000225119
0.87988	0.001788733
0.97355	0.005165295
1.06596	0.010727374
1.15715	0.018833712
1.24724	0.029833364
1.33654	0.044075108
